type,layer,row,col,value
weight,1,0,0,-0.00160529
weight,1,0,1,-3.6749e-05
weight,1,0,2,0.000779766
weight,1,0,3,0.00226002
weight,1,0,4,0.000352017
weight,1,0,5,0.00172821
weight,1,0,6,-0.000800213
weight,1,0,7,0.0015829
weight,1,0,8,0.0009765
weight,1,0,9,-2.05275e-05
weight,1,0,10,0.00193652
weight,1,0,11,-0.000582895
weight,1,0,12,0.00246693
weight,1,0,13,-0.00115425
weight,1,0,14,0.00120426
weight,1,0,15,-0.000441875
weight,1,0,16,-0.00126929
weight,1,0,17,0.00068774
weight,1,0,18,-0.00164076
weight,1,0,19,-0.00191478
weight,1,0,20,-0.00173515
weight,1,0,21,-0.000369258
weight,1,0,22,-0.00160883
weight,1,0,23,0.000816963
weight,1,0,24,0.0010911
weight,1,0,25,-0.00183029
weight,1,0,26,0.00255123
weight,1,0,27,-0.000938535
weight,1,0,28,-0.000756043
weight,1,0,29,-0.00160629
weight,1,0,30,-0.00137126
weight,1,0,31,-0.000164759
weight,1,0,32,-0.000284689
weight,1,0,33,0.00135538
weight,1,0,34,0.001411
weight,1,0,35,0.00168796
weight,1,0,36,-0.00143269
weight,1,0,37,-0.000596996
weight,1,0,38,0.00251709
weight,1,0,39,0.00213727
weight,1,0,40,-0.00111209
weight,1,0,41,0.000261346
weight,1,0,42,-0.000878598
weight,1,0,43,0.00028898
weight,1,0,44,-0.000951641
weight,1,0,45,0.000855661
weight,1,0,46,-0.000385638
weight,1,0,47,0.000502
weight,1,0,48,0.000500868
weight,1,0,49,-0.00115621
weight,1,0,50,-0.00216712
weight,1,0,51,0.00195488
weight,1,0,52,0.00085563
weight,1,0,53,0.00108003
weight,1,0,54,-0.00185179
weight,1,0,55,0.00190685
weight,1,0,56,-0.00229908
weight,1,0,57,-0.000643043
weight,1,0,58,0.000242957
weight,1,0,59,-0.00124339
weight,1,0,60,-0.000477699
weight,1,0,61,-0.00130473
weight,1,0,62,0.00227573
weight,1,0,63,-0.00141943
weight,1,0,64,-0.000534485
weight,1,0,65,0.00252105
weight,1,0,66,-0.0012352
weight,1,0,67,0.0015235
weight,1,0,68,-0.0014611
weight,1,0,69,0.00198651
weight,1,0,70,0.00124769
weight,1,0,71,0.00170875
weight,1,0,72,-0.00236549
weight,1,0,73,-0.00215402
weight,1,0,74,0.000744828
weight,1,0,75,-0.00166594
weight,1,0,76,0.00209336
weight,1,0,77,-0.0015586
weight,1,0,78,0.00106713
weight,1,0,79,-0.000972933
weight,1,0,80,0.00229893
weight,1,0,81,-0.000313542
weight,1,0,82,-0.00245928
weight,1,0,83,-0.00230058
weight,1,0,84,0.00197489
weight,1,0,85,0.00207896
weight,1,0,86,0.00180113
weight,1,0,87,0.00208709
weight,1,0,88,0.000537906
weight,1,0,89,0.000531923
weight,1,0,90,-0.000896522
weight,1,0,91,-0.00188189
weight,1,0,92,-0.00184586
weight,1,0,93,0.0012836
weight,1,0,94,-0.00108737
weight,1,0,95,-0.00144142
weight,1,0,96,0.000151504
weight,1,0,97,0.00242173
weight,1,0,98,0.00239907
weight,1,0,99,-0.00205082
weight,1,0,100,0.00222944
weight,1,0,101,0.000114468
weight,1,0,102,0.000143384
weight,1,0,103,-0.00225835
weight,1,0,104,-0.000594753
weight,1,0,105,-4.05038e-05
weight,1,0,106,-0.00119276
weight,1,0,107,-8.77879e-05
weight,1,0,108,0.00235422
weight,1,0,109,-0.00151725
weight,1,0,110,-0.000190859
weight,1,0,111,-0.000737294
weight,1,0,112,0.00168993
weight,1,0,113,-0.00224853
weight,1,0,114,-0.00104641
weight,1,0,115,0.00127221
weight,1,0,116,0.00216392
weight,1,0,117,0.00129833
weight,1,0,118,-0.000355489
weight,1,0,119,0.00221223
weight,1,0,120,0.000504156
weight,1,0,121,-0.00137635
weight,1,0,122,0.000890576
weight,1,0,123,-0.0019476
weight,1,0,124,0.00113561
weight,1,0,125,-0.00202403
weight,1,0,126,-0.00083959
weight,1,0,127,0.00142964
weight,1,1,0,-0.00191832
weight,1,1,1,-0.000155072
weight,1,1,2,0.00233111
weight,1,1,3,0.00168562
weight,1,1,4,-0.00183659
weight,1,1,5,0.00236609
weight,1,1,6,0.00141044
weight,1,1,7,-0.00120469
weight,1,1,8,-0.000606833
weight,1,1,9,-0.00234276
weight,1,1,10,-0.00217189
weight,1,1,11,0.00083282
weight,1,1,12,0.00126865
weight,1,1,13,-0.00253359
weight,1,1,14,-0.00103873
weight,1,1,15,0.00108669
weight,1,1,16,0.000861195
weight,1,1,17,0.00111268
weight,1,1,18,-0.000981627
weight,1,1,19,0.00224748
weight,1,1,20,-0.000987418
weight,1,1,21,0.000442783
weight,1,1,22,7.84968e-05
weight,1,1,23,0.00107586
weight,1,1,24,-0.00225718
weight,1,1,25,0.00154236
weight,1,1,26,-0.000170798
weight,1,1,27,0.00200555
weight,1,1,28,-0.000499723
weight,1,1,29,-0.000963874
weight,1,1,30,0.000834975
weight,1,1,31,-0.000904808
weight,1,1,32,0.0013928
weight,1,1,33,0.00103241
weight,1,1,34,0.00185389
weight,1,1,35,0.00113359
weight,1,1,36,0.00142394
weight,1,1,37,-0.00029794
weight,1,1,38,0.00153889
weight,1,1,39,0.000634314
weight,1,1,40,-0.00021007
weight,1,1,41,-9.3614e-05
weight,1,1,42,0.00103135
