type,layer,row,col,value
weight,1,0,0,-0.00160532
weight,1,0,1,-3.6953e-05
weight,1,0,2,0.00077997
weight,1,0,3,0.00225999
weight,1,0,4,0.000351991
weight,1,0,5,0.00172816
weight,1,0,6,-0.000800126
weight,1,0,7,0.00158296
weight,1,0,8,0.000976423
weight,1,0,9,-2.08561e-05
weight,1,0,10,0.00193644
weight,1,0,11,-0.00058275
weight,1,0,12,0.00246701
weight,1,0,13,-0.0011542
weight,1,0,14,0.00120425
weight,1,0,15,-0.000441653
weight,1,0,16,-0.00126952
weight,1,0,17,0.00068774
weight,1,0,18,-0.00164072
weight,1,0,19,-0.00191475
weight,1,0,20,-0.00173489
weight,1,0,21,-0.000368992
weight,1,0,22,-0.00160896
weight,1,0,23,0.000816973
weight,1,0,24,0.00109094
weight,1,0,25,-0.0018301
weight,1,0,26,0.00255139
weight,1,0,27,-0.000938508
weight,1,0,28,-0.000756341
weight,1,0,29,-0.00160674
weight,1,0,30,-0.00137124
weight,1,0,31,-0.000164729
weight,1,0,32,-0.000284731
weight,1,0,33,0.00135528
weight,1,0,34,0.00141097
weight,1,0,35,0.00168812
weight,1,0,36,-0.00143262
weight,1,0,37,-0.000596936
weight,1,0,38,0.00251709
weight,1,0,39,0.00213721
weight,1,0,40,-0.0011121
weight,1,0,41,0.000261358
weight,1,0,42,-0.000878486
weight,1,0,43,0.00028878
weight,1,0,44,-0.000951585
weight,1,0,45,0.000855734
weight,1,0,46,-0.000386018
weight,1,0,47,0.000502053
weight,1,0,48,0.000501096
weight,1,0,49,-0.00115619
weight,1,0,50,-0.00216719
weight,1,0,51,0.00195462
weight,1,0,52,0.000855681
weight,1,0,53,0.00108018
weight,1,0,54,-0.00185179
weight,1,0,55,0.0019067
weight,1,0,56,-0.00229928
weight,1,0,57,-0.000642797
weight,1,0,58,0.000243295
weight,1,0,59,-0.00124339
weight,1,0,60,-0.000477577
weight,1,0,61,-0.00130451
weight,1,0,62,0.00227553
weight,1,0,63,-0.00141953
weight,1,0,64,-0.0005344
weight,1,0,65,0.00252124
weight,1,0,66,-0.00123531
weight,1,0,67,0.00152351
weight,1,0,68,-0.00146123
weight,1,0,69,0.00198651
weight,1,0,70,0.00124758
weight,1,0,71,0.00170875
weight,1,0,72,-0.00236563
weight,1,0,73,-0.00215373
weight,1,0,74,0.000744829
weight,1,0,75,-0.00166623
weight,1,0,76,0.00209334
weight,1,0,77,-0.00155879
weight,1,0,78,0.00106716
weight,1,0,79,-0.000973164
weight,1,0,80,0.00229914
weight,1,0,81,-0.000313612
weight,1,0,82,-0.00245925
weight,1,0,83,-0.00230058
weight,1,0,84,0.00197493
weight,1,0,85,0.00207873
weight,1,0,86,0.00180112
weight,1,0,87,0.00208694
weight,1,0,88,0.000538226
weight,1,0,89,0.000531854
weight,1,0,90,-0.000896602
weight,1,0,91,-0.0018818
weight,1,0,92,-0.00184571
weight,1,0,93,0.00128358
weight,1,0,94,-0.00108763
weight,1,0,95,-0.00144128
weight,1,0,96,0.000151405
weight,1,0,97,0.00242172
weight,1,0,98,0.00239893
weight,1,0,99,-0.00205081
weight,1,0,100,0.00222958
weight,1,0,101,0.000114575
weight,1,0,102,0.000143789
weight,1,0,103,-0.00225821
weight,1,0,104,-0.000594762
weight,1,0,105,-4.04144e-05
weight,1,0,106,-0.00119273
weight,1,0,107,-8.78567e-05
weight,1,0,108,0.00235423
weight,1,0,109,-0.0015176
weight,1,0,110,-0.000190905
weight,1,0,111,-0.000737034
weight,1,0,112,0.00169001
weight,1,0,113,-0.0022487
weight,1,0,114,-0.00104623
weight,1,0,115,0.00127193
weight,1,0,116,0.00216393
weight,1,0,117,0.00129848
weight,1,0,118,-0.000355489
weight,1,0,119,0.00221228
weight,1,0,120,0.000504156
weight,1,0,121,-0.00137635
weight,1,0,122,0.000890717
weight,1,0,123,-0.0019476
weight,1,0,124,0.0011355
weight,1,0,125,-0.00202411
weight,1,0,126,-0.000839703
weight,1,0,127,0.00142964
weight,1,1,0,-0.00191781
weight,1,1,1,-0.000155269
weight,1,1,2,0.00233108
weight,1,1,3,0.00168548
weight,1,1,4,-0.00183676
weight,1,1,5,0.00236631
