type,layer,row,col,value
weight,1,0,0,-0.00160626
weight,1,0,1,-3.38763e-05
weight,1,0,2,0.000776485
weight,1,0,3,0.0022605
weight,1,0,4,0.000352429
weight,1,0,5,0.00172615
weight,1,0,6,-0.000802171
weight,1,0,7,0.00158012
weight,1,0,8,0.000976931
weight,1,0,9,-1.31066e-05
weight,1,0,10,0.001938
weight,1,0,11,-0.000586497
weight,1,0,12,0.00246617
weight,1,0,13,-0.00115479
weight,1,0,14,0.00120495
weight,1,0,15,-0.000443611
weight,1,0,16,-0.00126668
weight,1,0,17,0.000687744
weight,1,0,18,-0.00164265
weight,1,0,19,-0.00191507
weight,1,0,20,-0.00173833
weight,1,0,21,-0.000370897
weight,1,0,22,-0.00160587
weight,1,0,23,0.000816595
weight,1,0,24,0.00109636
weight,1,0,25,-0.00183567
weight,1,0,26,0.00254558
weight,1,0,27,-0.000938837
weight,1,0,28,-0.000751807
weight,1,0,29,-0.0015977
weight,1,0,30,-0.00137146
weight,1,0,31,-0.000167203
weight,1,0,32,-0.000283147
weight,1,0,33,0.00135751
weight,1,0,34,0.0014145
weight,1,0,35,0.00168482
weight,1,0,36,-0.00143428
weight,1,0,37,-0.000600185
weight,1,0,38,0.00251709
weight,1,0,39,0.00213504
weight,1,0,40,-0.00111275
weight,1,0,41,0.000262066
weight,1,0,42,-0.000882825
weight,1,0,43,0.00029321
weight,1,0,44,-0.000952115
weight,1,0,45,0.000852897
weight,1,0,46,-0.000378406
weight,1,0,47,0.000498368
weight,1,0,48,0.000494289
weight,1,0,49,-0.00115708
weight,1,0,50,-0.002165
weight,1,0,51,0.00196159
weight,1,0,52,0.000855512
weight,1,0,53,0.00107691
weight,1,0,54,-0.00185179
weight,1,0,55,0.00191016
weight,1,0,56,-0.00229662
weight,1,0,57,-0.000646367
weight,1,0,58,0.000235708
weight,1,0,59,-0.00124768
weight,1,0,60,-0.000480516
weight,1,0,61,-0.00131111
weight,1,0,62,0.00228052
weight,1,0,63,-0.00141747
weight,1,0,64,-0.000535429
weight,1,0,65,0.00251999
weight,1,0,66,-0.00123478
weight,1,0,67,0.00152368
weight,1,0,68,-0.00145656
weight,1,0,69,0.00198649
weight,1,0,70,0.00124964
weight,1,0,71,0.00170875
weight,1,0,72,-0.00236269
weight,1,0,73,-0.00215692
weight,1,0,74,0.00074472
weight,1,0,75,-0.00166276
weight,1,0,76,0.00209381
weight,1,0,77,-0.0015509
weight,1,0,78,0.00106713
weight,1,0,79,-0.000972829
weight,1,0,80,0.00229623
weight,1,0,81,-0.000312177
weight,1,0,82,-0.0024624
weight,1,0,83,-0.00230058
weight,1,0,84,0.00197591
weight,1,0,85,0.00208282
weight,1,0,86,0.00179866
weight,1,0,87,0.00208986
weight,1,0,88,0.000534917
weight,1,0,89,0.000530328
weight,1,0,90,-0.000893281
weight,1,0,91,-0.0018809
weight,1,0,92,-0.00184869
weight,1,0,93,0.00128235
weight,1,0,94,-0.00108672
weight,1,0,95,-0.00144155
weight,1,0,96,0.000157163
weight,1,0,97,0.00242276
weight,1,0,98,0.0024035
weight,1,0,99,-0.0020475
weight,1,0,100,0.00222432
weight,1,0,101,0.000111773
weight,1,0,102,0.000132717
weight,1,0,103,-0.0022591
weight,1,0,104,-0.000595938
weight,1,0,105,-4.31911e-05
weight,1,0,106,-0.00119188
weight,1,0,107,-8.92453e-05
weight,1,0,108,0.00235017
weight,1,0,109,-0.00151338
weight,1,0,110,-0.000189594
weight,1,0,111,-0.000740012
weight,1,0,112,0.00168551
weight,1,0,113,-0.00224286
weight,1,0,114,-0.00104632
weight,1,0,115,0.00127621
weight,1,0,116,0.00216452
weight,1,0,117,0.00129846
