type,layer,row,col,value
weight,1,0,0,-0.00160537
weight,1,0,1,-3.49107e-05
weight,1,0,2,0.000777629
weight,1,0,3,0.00226049
weight,1,0,4,0.00035231
weight,1,0,5,0.0017278
weight,1,0,6,-0.000801489
weight,1,0,7,0.00158198
weight,1,0,8,0.000976967
weight,1,0,9,-1.66192e-05
weight,1,0,10,0.00193736
weight,1,0,11,-0.000584993
weight,1,0,12,0.00246612
weight,1,0,13,-0.00115483
weight,1,0,14,0.00120447
weight,1,0,15,-0.00044368
weight,1,0,16,-0.00126708
weight,1,0,17,0.00068774
weight,1,0,18,-0.00164144
weight,1,0,19,-0.00191499
weight,1,0,20,-0.00173761
weight,1,0,21,-0.000371087
weight,1,0,22,-0.00160693
weight,1,0,23,0.000816911
weight,1,0,24,0.0010937
weight,1,0,25,-0.00183318
weight,1,0,26,0.00254844
weight,1,0,27,-0.000938782
weight,1,0,28,-0.000753063
weight,1,0,29,-0.00160102
weight,1,0,30,-0.00137141
weight,1,0,31,-0.000165939
weight,1,0,32,-0.000283651
weight,1,0,33,0.00135674
weight,1,0,34,0.00141205
weight,1,0,35,0.001686
weight,1,0,36,-0.00143356
weight,1,0,37,-0.000598387
weight,1,0,38,0.00251709
weight,1,0,39,0.00213718
weight,1,0,40,-0.00111227
weight,1,0,41,0.000261226
weight,1,0,42,-0.000880696
weight,1,0,43,0.000291525
weight,1,0,44,-0.000951944
weight,1,0,45,0.00085444
weight,1,0,46,-0.000381271
weight,1,0,47,0.000500554
weight,1,0,48,0.000497642
weight,1,0,49,-0.00115686
weight,1,0,50,-0.00216597
weight,1,0,51,0.00195824
weight,1,0,52,0.000855459
weight,1,0,53,0.00107826
weight,1,0,54,-0.00185179
weight,1,0,55,0.00190859
weight,1,0,56,-0.00229717
weight,1,0,57,-0.000645183
weight,1,0,58,0.000238716
weight,1,0,59,-0.00124487
weight,1,0,60,-0.000479182
weight,1,0,61,-0.00130808
weight,1,0,62,0.00227825
weight,1,0,63,-0.00141818
weight,1,0,64,-0.000535449
weight,1,0,65,0.00251973
weight,1,0,66,-0.00123463
weight,1,0,67,0.00152346
weight,1,0,68,-0.00145912
weight,1,0,69,0.00198646
weight,1,0,70,0.00124897
weight,1,0,71,0.00170875
weight,1,0,72,-0.00236401
weight,1,0,73,-0.00215666
weight,1,0,74,0.000744753
weight,1,0,75,-0.00166315
weight,1,0,76,0.00209359
weight,1,0,77,-0.00155525
weight,1,0,78,0.00106705
weight,1,0,79,-0.000971725
weight,1,0,80,0.0022967
weight,1,0,81,-0.00031275
weight,1,0,82,-0.0024605
